Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
521366,20725,LUNCH BAG RED SPOTTY,2,2010-09-05 10:54:00,1.65,16782.0,United Kingdom
524087,22625,RED KITCHEN SCALES,1,2010-09-27 11:41:00,16.98,,United Kingdom
525479,21491,SET OF THREE VINTAGE GIFT WRAPS,12,2010-10-05 15:34:00,1.95,17930.0,United Kingdom
527891,16020C,CLEAR STATIONERY BOX SET ,1,2010-10-19 12:16:00,0.85,14524.0,United Kingdom
526513,22513,DOORSTOP FOOTBALL DESIGN,2,2010-10-12 11:04:00,3.75,15039.0,United Kingdom
510549,21134,VICTORIAN METAL POSTCARD CHRISTMAS,8,2010-06-01 16:06:00,1.65,13719.0,United Kingdom
504556,22391,PAPERWEIGHT HOME SWEET HOME,4,2010-04-14 13:50:00,2.55,13878.0,United Kingdom
532295,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2010-11-11 13:46:00,0.85,13226.0,United Kingdom
533965,22753,SMALL YELLOW BABUSHKA NOTEBOOK ,1,2010-11-19 13:06:00,1.66,,United Kingdom
533161,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2010-11-16 14:15:00,1.95,16347.0,United Kingdom
491155,20677,PINK SPOTTY BOWL,2,2009-12-10 09:49:00,2.57,,United Kingdom
536592,85015,SET OF 12  VINTAGE POSTCARD SET,2,2010-12-01 17:06:00,2.51,,United Kingdom
505712,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,2010-04-25 12:43:00,8.5,13527.0,United Kingdom
523513,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,6,2010-09-22 12:38:00,5.95,17850.0,United Kingdom
498095,85099F,JUMBO BAG STRAWBERRY,2,2010-02-16 12:50:00,1.95,16940.0,United Kingdom
515310,82483,WOOD 2 DRAWER CABINET WHITE FINISH,16,2010-07-09 17:17:00,4.95,15856.0,United Kingdom
491449,82580,BATHROOM METAL SIGN,25,2009-12-11 10:58:00,0.55,17230.0,United Kingdom
528629,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,6,2010-10-24 11:18:00,3.75,13654.0,United Kingdom
512709,21212,PACK OF 72 RETRO SPOT CAKE CASES,5,2010-06-17 12:21:00,0.55,16115.0,United Kingdom
531373,22959,WRAP CHRISTMAS VILLAGE,25,2010-11-07 15:49:00,0.42,15996.0,United Kingdom
499641,35921,EASTER BUNNY HANGING GARLAND,1,2010-03-01 14:01:00,1.25,17841.0,United Kingdom
527071,22728,ALARM CLOCK BAKELIKE PINK,4,2010-10-14 14:11:00,3.75,16912.0,United Kingdom
523420,82494L,WOODEN FRAME ANTIQUE WHITE ,12,2010-09-22 09:53:00,2.55,17850.0,United Kingdom
527400,22796,PHOTO FRAME 3 CLASSIC HANGING,12,2010-10-17 13:59:00,8.5,14175.0,United Kingdom
490523,21649,ASSORTED TUTTI FRUTTI PHOTO FRAME,1,2009-12-06 15:32:00,2.95,,United Kingdom
513560,22175,PINK OWL SOFT TOY,2,2010-06-25 13:37:00,2.95,13564.0,United Kingdom
500279,22167,"WALL MIRROR , DIAMANTE OVAL SHAPE",2,2010-03-05 14:52:00,20.38,,United Kingdom
C506877,84969,ASSORTED COLOUR SET 6 TEASPOONS,-1,2010-05-04 16:40:00,4.25,13047.0,United Kingdom
530422,22633,HAND WARMER UNION JACK,1,2010-11-03 09:36:00,4.21,,United Kingdom
504896,22138,BAKING SET 9 PIECE RETROSPOT ,4,2010-04-18 14:25:00,4.95,17041.0,United Kingdom
537844,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,2010-12-08 15:17:00,2.95,17999.0,United Kingdom
506262,22029,SPACEBOY BIRTHDAY CARD,12,2010-04-28 14:45:00,0.42,12839.0,United Kingdom
490745,22027,TEA PARTY BIRTHDAY CARD,1,2009-12-07 18:02:00,0.86,,United Kingdom
532811,22512,DOORSTOP RACING CAR DESIGN,4,2010-11-14 15:27:00,3.75,15606.0,United Kingdom
